Unnamed: 0,Name,Nachname Vorname,Nachname,Vorname,Geburtsdatum
1293,"Brunner, Fritz",Brunner Fritz,Brunner,Fritz,30. Mai 1830
1294,"Brunner, Sebastian",Brunner Sebastian,Brunner,Sebastian,10.Dezbr. 1814
1295,"Bruno, C. G",Bruno C. G,Bruno,C. G,.
1296,"Bruno, Carl",Bruno Carl,Bruno,Carl,.
1297,"Bruno, Joseph",Bruno Joseph,Bruno,Joseph,.
1298,"Brunold, F",Brunold F,Brunold,F,.
1299,"Brunnhofer, Gottlieb Hermann",Brunnhofer Gottlieb Hermann,Brunnhofer,Gottlieb Hermann,16. März 1841
1300,"Bruns, August",Bruns August,Bruns,August,15. Mai1847
1301,"Bruns, Max Rudolf Georg",Bruns Max Rudolf Georg,Bruns,Max Rudolf Georg,13. Juli 1876
1302,"Bruns, Margarete",Bruns Margarete,Bruns,Margarete,.
1303,"Brunsig, Edle v. Brun, Jda",Brunsig Jda,Brunsig,Jda,9. März 1840
