Original,Name Vorname,Name,Vorname,Titel,Sonstiges
"Muschka, Marie und J. Ambros",Muschka J. Marie und Ambros,Muschka,J. Marie und Ambros,,
"Müseler, Frl. Clara",Müseler Clara,Müseler,Clara,Frl.,
"Musil, Marie",Musil Marie,Musil,Marie,,
"Musil-Peterkan, Nina",Musil-Peterkan Nina,Musil-Peterkan,Nina,,
"Müsken, Emmy",Müsken Emmy,Müsken,Emmy,,
"Muth, O",Muth O,Muth,O,,
"Mutschlechner, Frau Bertha",Mutschlechner Bertha,Mutschlechner,Bertha,Frau,
"Mutzenbecher, Wilhelmine",Mutzenbecher Wilhelmine,Mutzenbecher,Wilhelmine,,
"Mylius, Wilhelmine",Mylius Wilhelmine,Mylius,Wilhelmine,,
"Nachtsheim, Maria",Nachtsheim Maria,Nachtsheim,Maria,,
"Nachtweih, Frl. Albertine",Nachtweih Albertine,Nachtweih,Albertine,Frl.,
"Naerger, Ida",Naerger Ida,Naerger,Ida,,
"Nahmer, Frau Johanna v. der",Nahmer Johanna der,Nahmer,Johanna der,Frau,v.
"Najmájer, Frl. Marie von",Najmájer Marie,Najmájer,Marie,Frl.,von
"Najórski, Henriette v",Najórski Henriette,Najórski,Henriette,,v
"Nalli, Agathe",Nalli Agathe,Nalli,Agathe,,
"Nalli-Rutenberg, Frau Agathe",Nalli-Rutenberg Agathe,Nalli-Rutenberg,Agathe,Frau,
Namenlos,Namenlos,Namenlos,,,
"Nasareff, Fanny",Nasareff Fanny,Nasareff,Fanny,,
"Nast, Klara",Nast Klara,Nast,Klara,,
"Natalie, Königin von Serbien",Natalie,,Natalie,Königin von Serbien,
"Nathusius, Frl. Elsbeth von",Nathusius Elsbeth,Nathusius,Elsbeth,Frl.,von
"Nathusius, Johanna",Nathusius Johanna,Nathusius,Johanna,,
"Nathusius, Maria Karoline Elisabeth Luise von",Nathusius Karoline Maria Elisabeth Luise,Nathusius,Karoline Maria Elisabeth Luise,,von
"Nathusius, Maria Karoline Elisabeth Luise von",Nathusius Karoline Maria Elisabeth Luise,Nathusius,Karoline Maria Elisabeth Luise,,von
"Nathusius, Maria Karoline Elisabeth Luise von",Nathusius Karoline Maria Elisabeth Luise,Nathusius,Karoline Maria Elisabeth Luise,,von
"Nathusius, Maria Karoline Elisabeth Luise von",Nathusius Karoline Maria Elisabeth Luise,Nathusius,Karoline Maria Elisabeth Luise,,von
"Natzmer, Frl. Anna von",Natzmer Anna,Natzmer,Anna,Frl.,von
"Naubert, Christ. Benedicte Eugenie",Naubert Christ. Eugenie Benedicte,Naubert,Christ. Eugenie Benedicte,,
"Nauheim, J. M",Nauheim J. M,Nauheim,J. M,,
"Nauke-Lehmann, Frau",Nauke-Lehmann,Nauke-Lehmann,,Frau,
"Naumann, Frau Bertha",Naumann Bertha,Naumann,Bertha,Frau,
"Naumann, Frl. Betty",Naumann Betty,Naumann,Betty,Frl.,
"Naumann, Frau Dora",Naumann Dora,Naumann,Dora,Frau,
"Naumann, Frau Josefine",Naumann Josefine,Naumann,Josefine,Frau,
"Naumann, Pauline",Naumann Pauline,Naumann,Pauline,,
"Naumburg, H",Naumburg H,Naumburg,H,,
"Naveau, Thekla",Naveau Thekla,Naveau,Thekla,,
"Neander, Pauline v",Neander Pauline,Neander,Pauline,,v
"Nebe, Clara",Nebe Clara,Nebe,Clara,,
"Nebelin, Charlotte Elisabethe",Nebelin Elisabethe Charlotte,Nebelin,Elisabethe Charlotte,,
"Nebinger, Frl. J. H",Nebinger J. H,Nebinger,J. H,Frl.,
"Nebinger, J. H",Nebinger J. H,Nebinger,J. H,,
"Necker, Frau Nanny",Necker Nanny,Necker,Nanny,Frau,
"Nefe, Regine",Nefe Regine,Nefe,Regine,,
"Negenborn, Frau Marie",Negenborn Marie,Negenborn,Marie,Frau,
"Negro, C. del",Negro C. del,Negro,C. del,,
"Neisser, Regina",Neisser Regina,Neisser,Regina,,
"Nelken, Thekla",Nelken Thekla,Nelken,Thekla,,
"Nellen, Maria",Nellen Maria,Nellen,Maria,,
"Nelly, St",Nelly St,Nelly,St,,
"Nelson, Frau Rechtsanwalt",Nelson,Nelson,,Frau Rechtsanwalt,
"Nemekházy, Josefine v",Nemekházy Josefine,Nemekházy,Josefine,,v
"Nemeth, Susanna",Nemeth Susanna,Nemeth,Susanna,,
"Nemmersdorf, Franz v",Nemmersdorf Franz,Nemmersdorf,Franz,,v
"Nemmersdorf, Franz v",Nemmersdorf Franz,Nemmersdorf,Franz,,v
Nemo,Nemo,Nemo,,,
"Nemo, J",Nemo J,Nemo,J,,
"Nerese, Marg",Nerese Marg,Nerese,Marg,,
"Nerlich, Frl. Agnes",Nerlich Agnes,Nerlich,Agnes,Frl.,
Nessille O,Nessille O,Nessille O,,,
Nestor,Nestor,Nestor,,,
Netcke-Schwendy,Netcke-Schwendy,Netcke-Schwendy,,,
"Netz, Johanne v",Netz Johanne,Netz,Johanne,,v
"Neubaur, Lina u. W. Busch",Neubaur Lina,Neubaur,Lina,,u. W. Busch
"Neuberin, Friederike Karoline",Neuberin Karoline Friederike,Neuberin,Karoline Friederike,,
"Neubrunn, Jacobine",Neubrunn Jacobine,Neubrunn,Jacobine,,
"Neuda, Fanni",Neuda Fanni,Neuda,Fanni,,
"Neudecker, Maria Anna",Neudecker Anna Maria,Neudecker,Anna Maria,,
"Neuenhagen, Wilhelmine, Henriette Dorothea",Neuenhagen Henriette Dorothea,Neuenhagen,Henriette Dorothea,,
"Neuerburg-Jacobs, Mathilde",Neuerburg-Jacobs Mathilde,Neuerburg-Jacobs,Mathilde,,
"Neuhaus, Thusnelda",Neuhaus Thusnelda,Neuhaus,Thusnelda,,
"Neumann, Frau Aline",Neumann Aline,Neumann,Aline,Frau,
"Neumann, Bertha",Neumann Bertha,Neumann,Bertha,,
"Neumann, Frl. Betty",Neumann Betty,Neumann,Betty,Frl.,
"Neumann, Elise",Neumann Elise,Neumann,Elise,,
"Neumann-Hofer, Frau Annie",Neumann-Hofer Annie,Neumann-Hofer,Annie,Frau,
"Neumann, Jenni",Neumann Jenni,Neumann,Jenni,,
"Neumann, Frau Johanna",Neumann Johanna,Neumann,Johanna,Frau,
"Neumann, Marie Anna",Neumann Anna Marie,Neumann,Anna Marie,,
"Neumann, Frau Marie",Neumann Marie,Neumann,Marie,Frau,
"Neumann v. Meissenthal, Marianne",Neumann v. Meissenthal Marianne,Neumann v. Meissenthal,Marianne,,
"Neumann, Rosalia",Neumann Rosalia,Neumann,Rosalia,,
"Neumann-Satori, Johanna",Neumann-Satori Johanna,Neumann-Satori,Johanna,,
"Neumann-Tiell, M",Neumann-Tiell M,Neumann-Tiell,M,,
"Neupauer, Chr",Neupauer Chr,Neupauer,Chr,,
"Neuschütz, Frl. Anna Therese",Neuschütz Anna Therese,Neuschütz,Anna Therese,Frl.,
"Neustädter, Adele",Neustädter Adele,Neustädter,Adele,,
"Nickel, Frau Luise",Nickel Luise,Nickel,Luise,Frau,
"Nickles, Frau Prof. Luise",Nickles Luise,Nickles,Luise,Prof. Frau,
"Nicolai, Frau Anna",Nicolai Anna,Nicolai,Anna,Frau,
"Nicolay, Antoinette",Nicolay Antoinette,Nicolay,Antoinette,,
"Nicolin, Frl. Eleonore",Nicolin Eleonore,Nicolin,Eleonore,Frl.,
"Niebelschütz, Frl. Sophie v",Niebelschütz Sophie,Niebelschütz,Sophie,Frl.,v
"Niebuhr, Hildegard v",Niebuhr Hildegard,Niebuhr,Hildegard,,v
"Niederweelen, Marianne",Niederweelen Marianne,Niederweelen,Marianne,,
"Niedner, Marie",Niedner Marie,Niedner,Marie,,
"Niels, Erik",Niels Erik,Niels,Erik,,
"Niemann, Auguste",Niemann Auguste,Niemann,Auguste,,
"Niemann, Frl. Johanna",Niemann Johanna,Niemann,Johanna,Frl.,
"Niemann, Rosa",Niemann Rosa,Niemann,Rosa,,
"Niemeyer, Luise",Niemeyer Luise,Niemeyer,Luise,,
"Niendorf, Emma",Niendorf Emma,Niendorf,Emma,,
"Nier, Frl. Anna Frieda",Nier Anna Frieda,Nier,Anna Frieda,Frl.,
"Niese, Frl. Charlotte",Niese Charlotte,Niese,Charlotte,Frl.,
"Niese, Hedwig",Niese Hedwig,Niese,Hedwig,,
"Niese, Th",Niese Th,Niese,Th,,
"Niethammer, Marie",Niethammer Marie,Niethammer,Marie,,
"Nievenstern, Marie von",Nievenstern Marie,Nievenstern,Marie,,von
"Nievert, Helene",Nievert Helene,Nievert,Helene,,
"Nigg, Frl. Marianne",Nigg Marianne,Nigg,Marianne,Frl.,
"Nigra, B",Nigra B,Nigra,B,,
"Nigris, Emma",Nigris Emma,Nigris,Emma,,
"Nilas, E",Nilas E,Nilas,E,,
"Nisle-Klein, Frau Charlotte",Nisle-Klein Charlotte,Nisle-Klein,Charlotte,Frau,
"Nissel, L",Nissel L,Nissel,L,,
"Nissen, Maria",Nissen Maria,Nissen,Maria,,
"Nitschke, Frl. Anna",Nitschke Anna,Nitschke,Anna,Frl.,
"Nitschmann, Anna",Nitschmann Anna,Nitschmann,Anna,,
"Nitzschke, Karoline",Nitzschke Karoline,Nitzschke,Karoline,,
"Niwel, R",Niwel R,Niwel,R,,
"Nobiling, Anna",Nobiling Anna,Nobiling,Anna,,
"Noël, Frl. A",Noël A,Noël,A,Frl.,
"Nogat, Mechtildis v",Nogat Mechtildis,Nogat,Mechtildis,,v
"Nolde, Anne Dorothee Elise",Nolde Dorothee Anne Elise,Nolde,Dorothee Anne Elise,,
"Nölting, Frl. Bertha",Nölting Bertha,Nölting,Bertha,Frl.,
"Norden, A",Norden A,Norden,A,,
"Norden, Alma",Norden Alma,Norden,Alma,,
"Norden, E",Norden E,Norden,E,,
"Norden, Erich",Norden Erich,Norden,Erich,,
"Norden, Erich",Norden Erich,Norden,Erich,,
"Norden, Ernst",Norden Ernst,Norden,Ernst,,
"Norden, Freia",Norden Freia,Norden,Freia,,
"Norden, Marie",Norden Marie,Norden,Marie,,
"Nordenflycht, Hedwig Charlotte Freiin v",Nordenflycht Hedwig Charlotte,Nordenflycht,Hedwig Charlotte,Freiin,v
"Nordenflycht, Julie v",Nordenflycht Julie,Nordenflycht,Julie,,v
"Nordheim, Henriette",Nordheim Henriette,Nordheim,Henriette,,
"Nordheim, Julie",Nordheim Julie,Nordheim,Julie,,
"Nordmann, Friederike Auguste Wilhelmine",Nordmann Auguste Wilhelmine Friederike,Nordmann,Auguste Wilhelmine Friederike,,
"Nordmann, Richard",Nordmann Richard,Nordmann,Richard,,
"Normann, Henriette Charlotte Sophie v",Normann Henriette Sophie Charlotte,Normann,Henriette Sophie Charlotte,,v
"Nostitz, Frl. Helene von",Nostitz Helene,Nostitz,Helene,Frl.,von
"Nostitz-Rieneck, Gräfin Pauline",Nostitz-Rieneck Pauline,Nostitz-Rieneck,Pauline,Gräfin,
"Nostitz und Jänckendorf, Klotilde Septimie v",Nostitz und Jänckendorf Septimie Klotilde,Nostitz und Jänckendorf,Septimie Klotilde,,v
"Nostitz-Wallwitz, Frau Wirkl. Geheimrat A. v",Nostitz-Wallwitz A.,Nostitz-Wallwitz,A.,Frau Wirkl. Geheimrat A.,v
"Nouvel, Math",Nouvel Math,Nouvel,Math,,
"Nowack, Frl. Maria",Nowack Maria,Nowack,Maria,Frl.,
"Nowis, C",Nowis C,Nowis,C,,
"Nowotny, Isabella",Nowotny Isabella,Nowotny,Isabella,,
"Nuppera, A",Nuppera A,Nuppera,A,,
"Nusko, Maruša",Nusko Maruša,Nusko,Maruša,,
"Nüsseler-Gruebler, Frau Albertine",Nüsseler-Gruebler Albertine,Nüsseler-Gruebler,Albertine,Frau,
"Nütten, Frau Anna",Nütten Anna,Nütten,Anna,Frau,
"Oben, J. von",Oben J.,Oben,J.,,von
"Oberhofen, L. v",Oberhofen L.,Oberhofen,L.,,v
"Oberkamp, Frl. Olga",Oberkamp Olga,Oberkamp,Olga,Frl.,
"Obermayer, Frau Aurelia",Obermayer Aurelia,Obermayer,Aurelia,Frau,
"Obroutscheff, Frl. Anna von",Obroutscheff Anna,Obroutscheff,Anna,Frl.,von
"Obroutscheff, Paula",Obroutscheff Paula,Obroutscheff,Paula,,
"Obst, Frl. Clara",Obst Clara,Obst,Clara,Frl.,
"Ockel, Louise, Wanda und Helena",Ockel Wanda und Helena,Ockel,Wanda und Helena,,
"Oehler, Elise",Oehler Elise,Oehler,Elise,,
"Oehler, Luise",Oehler Luise,Oehler,Luise,,
"Oehme, Sophie Constanze Theodore",Oehme Constanze Theodore Sophie,Oehme,Constanze Theodore Sophie,,
"Oehmke, Frau Henny",Oehmke Henny,Oehmke,Henny,Frau,
"Oelschläger, Wilhelmine",Oelschläger Wilhelmine,Oelschläger,Wilhelmine,,
"Oelsner, Frau Elise",Oelsner Elise,Oelsner,Elise,Frau,
"Oepke, Frl. Sophie A. Th",Oepke A. Th Sophie,Oepke,A. Th Sophie,Frl.,
"Oerden, Gertrud",Oerden Gertrud,Oerden,Gertrud,,
"Oertel von Ortelsburg, Franziska Adelaide Christine von",Oertel von Ortelsburg Adelaide Christine Franziska,Oertel von Ortelsburg,Adelaide Christine Franziska,,von
"Oertzen, Charlotte Sophie Albertine von",Oertzen Albertine Sophie Charlotte,Oertzen,Albertine Sophie Charlotte,,von
"Oertzen, Frl. Margarete Marie von",Oertzen Margarete Marie,Oertzen,Margarete Marie,Frl.,von
"Oeser, Therese",Oeser Therese,Oeser,Therese,,
"Oesteren, Frl. Laska v",Oesteren Laska,Oesteren,Laska,Frl.,v
"Oesterheld, Therese Ida",Oesterheld Ida Therese,Oesterheld,Ida Therese,,
"Oestreich, Anna",Oestreich Anna,Oestreich,Anna,,
"Oeynhausen, Freifrau Wilhelmine von",Oeynhausen Wilhelmine,Oeynhausen,Wilhelmine,Freifrau,von
"Ohswaldt, Pauline",Ohswaldt Pauline,Ohswaldt,Pauline,,
"Olberg, Oda",Olberg Oda,Olberg,Oda,,
"Oldershausen, Frau Baronin Ottilie",Oldershausen Ottilie,Oldershausen,Ottilie,Frau Baronin,
"Oldofredi-Haager, Gräfin Julie",Oldofredi-Haager Julie,Oldofredi-Haager,Julie,Gräfin,
"Oletzky, Lydie",Oletzky Lydie,Oletzky,Lydie,,
"Olfers, Hedwig von",Olfers Hedwig,Olfers,Hedwig,,von
"Olfers, Marie von",Olfers Marie,Olfers,Marie,,von
"Olfers, Marie von",Olfers Marie,Olfers,Marie,,von
"Olivar, M",Olivar M,Olivar,M,,
"Olivet, H",Olivet H,Olivet,H,,
"Olten, Antonie v",Olten Antonie,Olten,Antonie,,v
"Olten, Hermine",Olten Hermine,Olten,Hermine,,
"Oltroff, A",Oltroff A,Oltroff,A,,
"Omer, Frau Doris",Omer Doris,Omer,Doris,Frau,
O. O,O. O,O. O,,,
"Oosten, Gerd von",Oosten Gerd,Oosten,Gerd,,von
"Opitz, Therese Adolf",Opitz Adolf Therese,Opitz,Adolf Therese,,
"Oppenheim, Frau Ida",Oppenheim Ida,Oppenheim,Ida,Frau,
"Oppre, Frau Anna",Oppre Anna,Oppre,Anna,Frau,
"Orell-Keller, Sophie",Orell-Keller Sophie,Orell-Keller,Sophie,,
"Orléans, Elis. Charl. Herzogin von",Orléans Elis. Charl.,Orléans,Elis. Charl.,Herzogin,von
"Orleans, Helene Luise Elisabeth Herzogin von",Orleans Elisabeth Luise Helene,Orleans,Elisabeth Luise Helene,Herzogin,von
"Ormános, Sandor",Ormános Sandor,Ormános,Sandor,,
"Orny, T",Orny T,Orny,T,,
"Ortenburg, Julie, Gräfin zu",Ortenburg Julie,Ortenburg,Julie,Gräfin zu,
"Orzeszko, Elise",Orzeszko Elise,Orzeszko,Elise,,
"Osberg, Otto",Osberg Otto,Osberg,Otto,,
"Oschwald-Ringier, Frau Fanny",Oschwald-Ringier Fanny,Oschwald-Ringier,Fanny,Frau,
"Osser, Heinz",Osser Heinz,Osser,Heinz,,
"Osten, A. v. der",Osten A. der,Osten,A. der,,v.
"Osten, Herbert v",Osten Herbert,Osten,Herbert,,v
"Osten, Frl. Jenny von der",Osten Jenny der,Osten,Jenny der,Frl.,von
"Osten, Mary",Osten Mary,Osten,Mary,,
"Osten-Sacken, Baronin Katharina",Osten-Sacken Katharina,Osten-Sacken,Katharina,Baronin,
"Osterloh, Frau Adele",Osterloh Adele,Osterloh,Adele,Frau,
"Oswald, E",Oswald E,Oswald,E,,
"Otten, Frl. Else",Otten Else,Otten,Else,Frl.,
"Ottenheimer, Henriette",Ottenheimer Henriette,Ottenheimer,Henriette,,
"Ottesen, Frl. Mary",Ottesen Mary,Ottesen,Mary,Frl.,
"Ottesen, Mary",Ottesen Mary,Ottesen,Mary,,
"Ottilié, Frau Ada",Ottilié Ada,Ottilié,Ada,Frau,
Ottilie,Ottilie,Ottilie,,,
"Ottmer, F",Ottmer F,Ottmer,F,,
"Otto, Amöne",Otto Amöne,Otto,Amöne,,
"Otto, Dora",Otto Dora,Otto,Dora,,
"Otto, Frau Helene",Otto Helene,Otto,Helene,Frau,
"Otto-Peters, Luise",Otto-Peters Luise,Otto-Peters,Luise,,
"Otto-Peters, Luise",Otto-Peters Luise,Otto-Peters,Luise,,
"Otto, Marie",Otto Marie,Otto,Marie,,
"Otto, Vally M",Otto M Vally,Otto,M Vally,,
"Ottzenn, Bertha",Ottzenn Bertha,Ottzenn,Bertha,,
"Oulot, B",Oulot B,Oulot,B,,
"Ovena, Anna",Ovena Anna,Ovena,Anna,,
"Paalzow, Henriette v",Paalzow Henriette,Paalzow,Henriette,,v
"Paalzow, Henriette v",Paalzow Henriette,Paalzow,Henriette,,v
"Paalzow, S",Paalzow S,Paalzow,S,,
"Paar, Elisabeth",Paar Elisabeth,Paar,Elisabeth,,
"Paar, Mathilde",Paar Mathilde,Paar,Mathilde,,
"Pabst, M",Pabst M,Pabst,M,,
"Pacher, Frau Bertha",Pacher Bertha,Pacher,Bertha,Frau,
"Palfy, Margarete",Palfy Margarete,Palfy,Margarete,,
"Palfy, Ottilie",Palfy Ottilie,Palfy,Ottilie,,
"Palleske, Emmy",Palleske Emmy,Palleske,Emmy,,
"Palm-Knieper, M",Palm-Knieper M,Palm-Knieper,M,,
"Palm-Nasareff, Frau Fanny",Palm-Nasareff Fanny,Palm-Nasareff,Fanny,Frau,
"Palme, Lehrerin, Dolmetscherin, Agnes",Palme Agnes,Palme,Agnes,,"Dolmetscherin, Lehrerin"
"Palmé-Paysen, Hilda Ottilie",Palmé-Paysen Hilda Ottilie,Palmé-Paysen,Hilda Ottilie,,
"Panck, Lyda",Panck Lyda,Panck,Lyda,,
"Pannenborg, Frau Professor Dorothea",Pannenborg Dorothea,Pannenborg,Dorothea,Frau Professor,
"Paoli, Betty",Paoli Betty,Paoli,Betty,,
"Paoli, Betty",Paoli Betty,Paoli,Betty,,
"Pape, Charlotte",Pape Charlotte,Pape,Charlotte,,
"Papke, Frl. Käthe",Papke Käthe,Papke,Käthe,Frl.,
"Pappenheim, Frl. Bertha",Pappenheim Bertha,Pappenheim,Bertha,Frl.,
"Pappenheim, Pauline",Pappenheim Pauline,Pappenheim,Pauline,,
"Pappritz, Frl. Anna",Pappritz Anna,Pappritz,Anna,Frl.,
"Pappritz, Anna",Pappritz Anna,Pappritz,Anna,,
"Papst, Frau Helene",Papst Helene,Papst,Helene,Frau,
"Paradis, Marie Therese v",Paradis Marie Therese,Paradis,Marie Therese,,v
"Parameny, K",Parameny K,Parameny,K,,
"Parpart, Alice v",Parpart Alice,Parpart,Alice,,v
"Parpart, Frau Baronin Gertrud v",Parpart Gertrud,Parpart,Gertrud,Frau Baronin,v
"Parr, M. J",Parr J M.,Parr,J M.,,
"Parwitz, Th. v",Parwitz Th.,Parwitz,Th.,,v
"Paschkow, L. A",Paschkow A L.,Paschkow,A L.,,
"Paschkowsky, D. v",Paschkowsky D.,Paschkowsky,D.,,v
"Paschwitz, Frl. Theodolinde v",Paschwitz Theodolinde,Paschwitz,Theodolinde,Frl.,v
"Passow, Frau Athenaea",Passow Athenaea,Passow,Athenaea,Frau,
"Passow, Athenaea",Passow Athenaea,Passow,Athenaea,,
"Pasternak, Frau Emilie Louise",Pasternak Louise Emilie,Pasternak,Louise Emilie,Frau,
"Pataki, Frau Ilona",Pataki Ilona,Pataki,Ilona,Frau,
"Pataky, Carolina Maria Theresia",Pataky Theresia Carolina Maria,Pataky,Theresia Carolina Maria,,
"Pataky, Sophie",Pataky Sophie,Pataky,Sophie,,
"Patruban, Gräfin Hermine",Patruban Hermine,Patruban,Hermine,Gräfin,
"Pattberg, Auguste",Pattberg Auguste,Pattberg,Auguste,,
"Paufler, Frau Professor",Paufler Professor,Paufler,Professor,Frau,
"Paul, Frau Elvira",Paul Elvira,Paul,Elvira,Frau,
"Paula, Schwester M",Paula M Schwester,Paula,M Schwester,,
"Pauli, Henriette Katharina Amalie",Pauli Amalie Katharina Henriette,Pauli,Amalie Katharina Henriette,,
"Paulus, Emilie",Paulus Emilie,Paulus,Emilie,,
"Paulus, Karoline",Paulus Karoline,Paulus,Karoline,,
"Pauly, Frau Tony",Pauly Tony,Pauly,Tony,Frau,
"Paura, A. von der",Paura A. der,Paura,A. der,,von
"Pause, Klara",Pause Klara,Pause,Klara,,
"Pawlitschek, Frau Anna",Pawlitschek Anna,Pawlitschek,Anna,Frau,
"Pawelka, Lehrerin Marie",Pawelka Lehrerin Marie,Pawelka,Lehrerin Marie,,
"Paysen, Hilda",Paysen Hilda,Paysen,Hilda,,
"Pech, Henriette",Pech Henriette,Pech,Henriette,,
"Pechmann, Freiin Auguste von",Pechmann Auguste,Pechmann,Auguste,Freiin,von
"Peez, M. Henriette",Peez M. Henriette,Peez,M. Henriette,,
"Peisker, Malwine",Peisker Malwine,Peisker,Malwine,,
"Pelican, Frl. Bertha",Pelican Bertha,Pelican,Bertha,Frl.,
"Pellegrina, Amara",Pellegrina Amara,Pellegrina,Amara,,
"Pelouze, Madame",Pelouze Madame,Pelouze,Madame,,
"Peltzer, Ida",Peltzer Ida,Peltzer,Ida,,
"Pelz, Henriette",Pelz Henriette,Pelz,Henriette,,
"Pelzeln, Franziska v",Pelzeln Franziska,Pelzeln,Franziska,,v
"Pelzeln, Marie v",Pelzeln Marie,Pelzeln,Marie,,v
"Pembrocke, Lady Emma",Pembrocke Lady Emma,Pembrocke,Lady Emma,,
"Pembrocke, Emma",Pembrocke Emma,Pembrocke,Emma,,
"Penl, Frl. Itha",Penl Itha,Penl,Itha,Frl.,
"Pepi, Tante",Pepi Tante,Pepi,Tante,,
"Peregrina, Cordula",Peregrina Cordula,Peregrina,Cordula,,
Peregrina Cordula,Peregrina Cordula,Peregrina Cordula,,,
"Pereles, Frau Julia",Pereles Julia,Pereles,Julia,Frau,
"Perigny de Saint Romain, Marie Louise Rose",Perigny de Saint Romain Rose Marie Louise,Perigny de Saint Romain,Rose Marie Louise,,
"Perin von Gradenstein, Josephine",Perin von Gradenstein Josephine,Perin von Gradenstein,Josephine,,
"Perin, Josefine Freiin v",Perin Josefine,Perin,Josefine,Freiin,v
"Perl, Frau Henriette",Perl Henriette,Perl,Henriette,Frau,
"Perl, Henry",Perl Henry,Perl,Henry,,
"Perné, Frau Emma de",Perné Emma,Perné,Emma,Frau,de
"Pesel, Emma",Pesel Emma,Pesel,Emma,,
"Pessiack, Louise",Pessiack Louise,Pessiack,Louise,,
"Petenbeck, Maria",Petenbeck Maria,Petenbeck,Maria,,
"Peter, Frl. Eva Hermine",Peter Hermine Eva,Peter,Hermine Eva,Frl.,
"Peter, Frau Juliane Richarda",Peter Juliane Richarda,Peter,Juliane Richarda,Frau,
"Peter, Frl. Sidonie",Peter Sidonie,Peter,Sidonie,Frl.,
"Peternell, Anna von",Peternell Anna,Peternell,Anna,,von
"Peters, Frl. Anna",Peters Anna,Peters,Anna,Frl.,
"Peters, Luise",Peters Luise,Peters,Luise,,
"Peters, Frl. Wilhelmine",Peters Wilhelmine,Peters,Wilhelmine,Frl.,
"Petersdorff, Frau Ulrike v",Petersdorff Ulrike,Petersdorff,Ulrike,Frau,v
"Petersen, Johanna Eleonora",Petersen Eleonora Johanna,Petersen,Eleonora Johanna,,
"Petersen, Karoline Wilhelmine",Petersen Wilhelmine Karoline,Petersen,Wilhelmine Karoline,,
"Petersen, Marie",Petersen Marie,Petersen,Marie,,
"Petersen, Frl. Minna",Petersen Minna,Petersen,Minna,Frl.,
"Petersen-Wagner, Julie",Petersen-Wagner Julie,Petersen-Wagner,Julie,,
"Peterson, Frau Luise",Peterson Luise,Peterson,Luise,Frau,
"Petrasch, Frau Eugenie",Petrasch Eugenie,Petrasch,Eugenie,Frau,
"Petri, Antonie",Petri Antonie,Petri,Antonie,,
"Petri, M",Petri M,Petri,M,,
"Petritsch, Fany",Petritsch Fany,Petritsch,Fany,,
"Petritsch, Frau Luise",Petritsch Luise,Petritsch,Luise,Frau,
"Petrovits, Frl. Eveline",Petrovits Eveline,Petrovits,Eveline,Frl.,
"Petzel, Frau Wilhelmine",Petzel Wilhelmine,Petzel,Wilhelmine,Frau,
"Petzel, Frl. Marie",Petzel Marie,Petzel,Marie,Frl.,
"Petzel, Frl. Minna",Petzel Minna,Petzel,Minna,Frl.,
"Petzel, Frl. Rosa",Petzel Rosa,Petzel,Rosa,Frl.,
"Petzold, Emma",Petzold Emma,Petzold,Emma,,
"Pfander, Frl. Gertrud",Pfander Gertrud,Pfander,Gertrud,Frl.,
"Pfannenschmidt, Frau Julie",Pfannenschmidt Julie,Pfannenschmidt,Julie,Frau,
"Pfannschmidt, Frau Renata",Pfannschmidt Renata,Pfannschmidt,Renata,Frau,
"Pfeifer, Margarete",Pfeifer Margarete,Pfeifer,Margarete,,
"Pfeiffer, Ida",Pfeiffer Ida,Pfeiffer,Ida,,
"Pfeil, Anna",Pfeil Anna,Pfeil,Anna,,
"Pfeil, Gräfin Clementine",Pfeil Clementine,Pfeil,Clementine,Gräfin,
"Pfeil, Gräfin Lucie",Pfeil Lucie,Pfeil,Lucie,Gräfin,
"Pfeilsticker, Arbeitslehrerin Lina",Pfeilsticker Lina,Pfeilsticker,Lina,Arbeitslehrerin,
"Pflücker, Frl. Emilie",Pflücker Emilie,Pflücker,Emilie,Frl.,
"Pfranger, Albertine",Pfranger Albertine,Pfranger,Albertine,,
"Pfudel, Klara",Pfudel Klara,Pfudel,Klara,,
"Pfund, Amalie",Pfund Amalie,Pfund,Amalie,,
"Phelps, Elisabeth Stuart",Phelps Stuart Elisabeth,Phelps,Stuart Elisabeth,,
Philomusos,Philomusos,Philomusos,,,
Phoebe,Phoebe,Phoebe,,,
"Pichler, Helene",Pichler Helene,Pichler,Helene,,
"Pichler, Karoline",Pichler Karoline,Pichler,Karoline,,
"Pichler, Luise",Pichler Luise,Pichler,Luise,,
"Pichler, Luise",Pichler Luise,Pichler,Luise,,
"Pichler, Luise",Pichler Luise,Pichler,Luise,,
"Pichler, Luise u. Thdr. Ebner",Pichler Thdr. u. Ebner Luise,Pichler,Thdr. u. Ebner Luise,,
"Pich-Polák, Bertha",Pich-Polák Bertha,Pich-Polák,Bertha,,
"Pickel, Frau A",Pickel A,Pickel,A,Frau,
"Piderit, Auguste u. Otto Hartwig",Piderit Otto Hartwig u. Auguste,Piderit,Otto Hartwig u. Auguste,,
"Piefke, Mary",Piefke Mary,Piefke,Mary,,
"Pieper, Frl. Antonie",Pieper Antonie,Pieper,Antonie,Frl.,
"Pierson, Frau Karoline",Pierson Karoline,Pierson,Karoline,Frau,
"Pierson, Margot",Pierson Margot,Pierson,Margot,,
"Pietsch, Klara",Pietsch Klara,Pietsch,Klara,,
"Pignatelli, Maria Gaëtana Fürstin",Pignatelli Gaëtana Maria,Pignatelli,Gaëtana Maria,Fürstin,
"Pilgram-Diehl, Margareta",Pilgram-Diehl Margareta,Pilgram-Diehl,Margareta,,
